,precision,recall,f1-score,support
0,0.810905892700088,0.22700174102667817,0.3547079594949231,56863.0
1,0.9943891402714932,0.9975186104218362,0.9959514170040485,49569.0
2,0.8864492815968339,0.9059669732514992,0.896101862965089,56863.0
3,0.9463914388598671,0.9844714489210911,0.9650559415242987,56863.0
4,0.9892232256243827,0.9863179923676204,0.9877684727762661,56863.0
5,0.5482185023875741,0.9186465715843343,0.6866603570207955,56863.0
6,0.9509959007331054,0.9832404199567382,0.9668493956110468,56863.0
7,0.9918005617487483,0.9997889664632538,0.9957787430813424,56863.0
8,0.9500476894017318,0.893375305558975,0.9208403574600758,56863.0
accuracy,0.8756325908423246,0.8756325908423246,0.8756325908423246,0.8756325908423246
macro avg,0.896491292591536,0.8773697810613362,0.8633016118819873,504473.0
weighted avg,0.8950758215931325,0.8756325908423246,0.8613836743936374,504473.0
